priority,status,action,news_url,news_h1,partners_to_link,suggested_partner_urls,existing_partner_links,missing_partner_urls,is_partnership_announcement,suggested_anchor_text,suggested_learn_more_line
P0,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/new-partnership-to-strengthen-communities-against-climate-disasters/,New Partnership to Strengthen Communities Against Climate Disasters,New Energy Nexus (NEX) => https://trafigurafoundation.org/partner-stories/new-energy-nexus-nex/,https://trafigurafoundation.org/partner-stories/new-energy-nexus-nex/,https://trafigurafoundation.org/partner-stories/start-network-start-ready/,https://trafigurafoundation.org/partner-stories/new-energy-nexus-nex/,yes,New Energy Nexus (NEX),Learn more about our partnership with New Energy Nexus (NEX)
P0,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/new-partnerships-to-advance-climate-adaptation-and-equip-youth-for-the-green-economy/,New Partnerships to Advance Climate Adaptation and Equip Youth for the Green Economy,Root Capital => https://trafigurafoundation.org/partner-stories/root-capital/ | Planet Indonesia => https://trafigurafoundation.org/partner-stories/planet-indonesia/ | Education for Employment => https://trafigurafoundation.org/partner-stories/education-for-employment/,https://trafigurafoundation.org/partner-stories/root-capital/ | https://trafigurafoundation.org/partner-stories/planet-indonesia/ | https://trafigurafoundation.org/partner-stories/education-for-employment/,,https://trafigurafoundation.org/partner-stories/root-capital/ | https://trafigurafoundation.org/partner-stories/planet-indonesia/ | https://trafigurafoundation.org/partner-stories/education-for-employment/,yes,Root Capital; Planet Indonesia; Education for Employment,Link each partner name on first mention
P0,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/our-foundation-granted-observer-status-at-the-un-biodiversity-conference-cop16/,UN Biodiversity Conference (COP16): Our Foundation Granted Observer Status,Plan Vivo => https://trafigurafoundation.org/partner-stories/plan-vivo/ | Clim-Eat => https://trafigurafoundation.org/partner-stories/clim-eat/ | Wildlife Conservation Society (WCS) => https://trafigurafoundation.org/partner-stories/wildlife-conservation-society-wcs/ | Alliance for Responsible Mining (ARM) => https://trafigurafoundation.org/partner-stories/alliance-for-responsible-mining-arm/ | TNC — Natural Climate Solutions Accelerator => https://trafigurafoundation.org/partner-stories/the-nature-conservancy-natural-climate-solutions-accelerator/,https://trafigurafoundation.org/partner-stories/plan-vivo/ | https://trafigurafoundation.org/partner-stories/clim-eat/ | https://trafigurafoundation.org/partner-stories/wildlife-conservation-society-wcs/ | https://trafigurafoundation.org/partner-stories/alliance-for-responsible-mining-arm/ | https://trafigurafoundation.org/partner-stories/the-nature-conservancy-natural-climate-solutions-accelerator/,,https://trafigurafoundation.org/partner-stories/plan-vivo/ | https://trafigurafoundation.org/partner-stories/clim-eat/ | https://trafigurafoundation.org/partner-stories/wildlife-conservation-society-wcs/ | https://trafigurafoundation.org/partner-stories/alliance-for-responsible-mining-arm/ | https://trafigurafoundation.org/partner-stories/the-nature-conservancy-natural-climate-solutions-accelerator/,yes,Plan Vivo; Clim-Eat; Wildlife Conservation Society (WCS); Alliance for Responsible Mining (ARM); TNC — Natural Climate Solutions Accelerator,Link each partner name on first mention
P0,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/the-trafigura-foundation-announces-new-partnerships-for-2024-2026/,Trafigura Foundation Announces New Partnerships for 2024-2026,Plan Vivo => https://trafigurafoundation.org/partner-stories/plan-vivo/ | Clim-Eat => https://trafigurafoundation.org/partner-stories/clim-eat/ | Wildlife Conservation Society (WCS) => https://trafigurafoundation.org/partner-stories/wildlife-conservation-society-wcs/ | Peace Dividend Initiative => https://trafigurafoundation.org/partner-stories/peace-dividend-initiative-pdi/ | Partnership for Central America (PCA) => https://trafigurafoundation.org/partner-stories/partnership-for-central-america-pca/,https://trafigurafoundation.org/partner-stories/plan-vivo/ | https://trafigurafoundation.org/partner-stories/clim-eat/ | https://trafigurafoundation.org/partner-stories/wildlife-conservation-society-wcs/ | https://trafigurafoundation.org/partner-stories/peace-dividend-initiative-pdi/ | https://trafigurafoundation.org/partner-stories/partnership-for-central-america-pca/,,https://trafigurafoundation.org/partner-stories/plan-vivo/ | https://trafigurafoundation.org/partner-stories/clim-eat/ | https://trafigurafoundation.org/partner-stories/wildlife-conservation-society-wcs/ | https://trafigurafoundation.org/partner-stories/peace-dividend-initiative-pdi/ | https://trafigurafoundation.org/partner-stories/partnership-for-central-america-pca/,yes,Plan Vivo; Clim-Eat; Wildlife Conservation Society (WCS); Peace Dividend Initiative; Partnership for Central America (PCA),Link each partner name on first mention
P0,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/trafigura-foundation-enters-2025-with-three-new-partnerships/,Trafigura Foundation Enters 2025 with Two New Partnerships,Start Fund => https://trafigurafoundation.org/partner-stories/start-network-start-fund/ | Climate Smart Forest Economy Program => https://trafigurafoundation.org/partner-stories/climate-smart-forest-economy-program/,https://trafigurafoundation.org/partner-stories/start-network-start-fund/ | https://trafigurafoundation.org/partner-stories/climate-smart-forest-economy-program/,,https://trafigurafoundation.org/partner-stories/start-network-start-fund/ | https://trafigurafoundation.org/partner-stories/climate-smart-forest-economy-program/,yes,Start Fund; Climate Smart Forest Economy Program,Link each partner name on first mention
P0,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/trafigura-foundation-partners-with-nuru-to-strengthen-rural-resilience-in-west-africa/,Trafigura Foundation Partners with Nuru to Strengthen Rural Resilience in West Africa,Nuru => https://trafigurafoundation.org/partner-stories/nuru/,https://trafigurafoundation.org/partner-stories/nuru/,,https://trafigurafoundation.org/partner-stories/nuru/,yes,Nuru,Learn more about our partnership with Nuru
P1,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/7-reflections-from-new-york-climate-week/,7 Reflections from New York Climate Week,Clim-Eat => https://trafigurafoundation.org/partner-stories/clim-eat/,https://trafigurafoundation.org/partner-stories/clim-eat/,,https://trafigurafoundation.org/partner-stories/clim-eat/,no,Clim-Eat,Learn more about our partnership with Clim-Eat
P1,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/executive-director-joins-white-house-meeting/,Executive Director Joins White House Meeting,Partnership for Central America (PCA) => https://trafigurafoundation.org/partner-stories/partnership-for-central-america-pca/,https://trafigurafoundation.org/partner-stories/partnership-for-central-america-pca/,,https://trafigurafoundation.org/partner-stories/partnership-for-central-america-pca/,no,Partnership for Central America (PCA),Learn more about our partnership with Partnership for Central America (PCA)
P1,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/field-visit-heading-off-humanitarian-crises-in-africa/,Eastern Africa: Heading Off Humanitarian Crises,Start Fund => https://trafigurafoundation.org/partner-stories/start-network-start-fund/ | Start Ready => https://trafigurafoundation.org/partner-stories/start-network-start-ready/,https://trafigurafoundation.org/partner-stories/start-network-start-fund/ | https://trafigurafoundation.org/partner-stories/start-network-start-ready/,https://trafigurafoundation.org/partner-stories/start-network/,https://trafigurafoundation.org/partner-stories/start-network-start-fund/ | https://trafigurafoundation.org/partner-stories/start-network-start-ready/,no,Start Fund; Start Ready,Link each partner name on first mention
P1,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/field-visit-in-colombia-cultivating-climate-resilience/,Colombia: Cultivating Climate Resilience,Root Capital => https://trafigurafoundation.org/partner-stories/root-capital/,https://trafigurafoundation.org/partner-stories/root-capital/,,https://trafigurafoundation.org/partner-stories/root-capital/,no,Root Capital,Learn more about our partnership with Root Capital
P1,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/field-visit-in-indonesia-experience-thriving-nature-in-borneo/,Borneo: Experience Thriving Nature,Planet Indonesia => https://trafigurafoundation.org/partner-stories/planet-indonesia/,https://trafigurafoundation.org/partner-stories/planet-indonesia/,,https://trafigurafoundation.org/partner-stories/planet-indonesia/,no,Planet Indonesia,Learn more about our partnership with Planet Indonesia
P1,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/field-visit-in-mongolia-conserving-grasslands-to-protect-people-and-nature/,Mongolia: Conserving Grasslands to Protect People and Nature,TNC — Eternal Mongolia => https://trafigurafoundation.org/partner-stories/the-nature-conservancy-eternal-mongolia/,https://trafigurafoundation.org/partner-stories/the-nature-conservancy-eternal-mongolia/,,https://trafigurafoundation.org/partner-stories/the-nature-conservancy-eternal-mongolia/,no,The Nature Conservancy,Learn more about our partnership with The Nature Conservancy: Eternal Mongolia
P1,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/field-visit-inspecting-the-mechanics-of-coral-reef-conservation/,Indonesia: Inspecting the Mechanics of Coral Reef Conservation,Blue Alliance => https://trafigurafoundation.org/partner-stories/blue-alliance/ | Wildlife Conservation Society (WCS) => https://trafigurafoundation.org/partner-stories/wildlife-conservation-society-wcs/,https://trafigurafoundation.org/partner-stories/blue-alliance/ | https://trafigurafoundation.org/partner-stories/wildlife-conservation-society-wcs/,,https://trafigurafoundation.org/partner-stories/blue-alliance/ | https://trafigurafoundation.org/partner-stories/wildlife-conservation-society-wcs/,no,Blue Alliance; Wildlife Conservation Society (WCS),Link each partner name on first mention
P1,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/field-visit-joining-the-dots-to-build-climate-resilience-in-east-africa/,Eastern Africa: Joining the Dots to Build Climate Resilience,BOMA => https://trafigurafoundation.org/partner-stories/boma/,https://trafigurafoundation.org/partner-stories/boma/,,https://trafigurafoundation.org/partner-stories/boma/,no,BOMA,Learn more about our partnership with BOMA
P1,needs_link,Add first-mention link (+ optional Learn more),https://trafigurafoundation.org/news/field-visit-tanzania-uniting-climate-protection-with-community-resilience/,Tanzania: Uniting Climate Protection with Community Resilience,TNC — Africa Forest Carbon Catalyst => https://trafigurafoundation.org/partner-stories/the-nature-conservancy-2/,https://trafigurafoundation.org/partner-stories/the-nature-conservancy-2/,,https://trafigurafoundation.org/partner-stories/the-nature-conservancy-2/,no,The Nature Conservancy,Learn more about our partnership with The Nature Conservancy
