priority,content_type,url,focus_keyphrase,seo_title,meta_description,yoast_action,recommended_robots,content_source,issues_notes,title_chars,meta_chars,current_title,current_meta_description,current_h1
P0,Area of Work,https://trafigurafoundation.org/area-of-work/prepared-communities/,disaster risk reduction,Prepared Communities | Trafigura Foundation,"We fund disaster risk reduction so communities can prepare for climate shocks via early warning systems, resilience-building and nature-based solutions.",Update Yoast fields,"index, follow",para3+para5 DRR early warning,,43,152,Prepared Communities | Climate Shock Preparedness & Recovery,"Prepared Communities: funding programmes that help people prepare for, withstand and recover from climate shocks and disasters.",Prepared communities
P0,Area of Work,https://trafigurafoundation.org/area-of-work/sustainable-livelihoods/,climate resilient MSMEs,Sustainable Livelihoods | Trafigura Foundation,"We support MSMEs and jobs for climate-resilient livelihoods; micro, small and medium enterprises generate up to 33% of GDP in developing countries.",Update Yoast fields,"index, follow",para3+para5 MSMEs 33% GDP,,46,147,Innovation and Technology for Sustainable Livelihoods — Trafigura Foundation,Enhancing climate resilience and promoting sustainable livelihoods: find out how we support workers and MSMEs affected by climate change.,Sustainable livelihoods
P0,Area of Work,https://trafigurafoundation.org/area-of-work/thriving-nature/,ecosystem-based adaptation,Thriving Nature | Trafigura Foundation,We fund ecosystem management and restoration so local communities can steward nature and adapt to climate change through nature-based solutions.,Update Yoast fields,"index, follow",para3+para4 EbA community stewards,,38,144,Area of Work: How We Support Sustainable Ecosystems — Trafigura Foundation,"Explore Thriving Nature and its role in sustainable ecosystems, supporting communities while enhancing climate resilience.",Thriving nature
P0,CPT Archive,https://trafigurafoundation.org/area-of-work/,climate adaptation funding,Areas of Work | Trafigura Foundation,"We fund climate adaptation for vulnerable communities and ecosystems through flexible, responsive programmes that help people and nature adapt.",Prefer noindex OR redirect to /areas-of-work/,"noindex, follow",para5 climate adaptation funding,missing meta description | should be noindex | Thin archive duplicates /areas-of-work/; missing meta; consider noindex or 301 to /areas-of-work/,36,143,Areas of works Archive — Trafigura Foundation,,We invest in solutions for communities and ecosystems most vulnerable to climate change
P0,CPT Archive,https://trafigurafoundation.org/news/,Trafigura Foundation news,News | Trafigura Foundation,"News on our climate adaptation funding, from blue economy and coastal protection in Tanzania to climate-resilient businesses in Argentina and Paraguay.",Fix archive H1 + Yoast meta,"index, follow",para1–3 news headlines Tanzania Argentina Paraguay,Archive uses homepage H1 and generic org meta; fix template H1 + Yoast,27,151,News Archive — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",We invest in solutions for communities and ecosystems most vulnerable to climate change
P0,CPT Archive,https://trafigurafoundation.org/partner-stories/,partner stories climate,Partner Stories | Trafigura Foundation,"Stories from partners helping communities and nature adapt to climate change, from coastal Tanzania to climate-resilient businesses in Argentina and Paraguay.",Update Yoast; consider consolidating UX with partners page,"index, follow",para1–3+para5 partner programme headlines,Archive overlaps with /partners-stories/ listing page,38,158,Trafigura Foundation: Empowering Communities Worldwide — Trafigura Foundation,Crafting effective meta descriptions is crucial for SEO. Learn how to write compelling meta descriptions for better search engine visibility.,We invest in solutions for communities and ecosystems most vulnerable to climate change
P0,Home,https://trafigurafoundation.org/,climate adaptation funding,Trafigura Foundation | Climate Adaptation Funding,"We invest in solutions for communities and ecosystems most vulnerable to climate change, funding partners that help people and nature adapt.",Update Yoast fields,"index, follow",h1+para5 climate adaptation funding,,49,140,Trafigura Foundation: Empowering Communities Worldwide — Trafigura Foundation,Crafting effective meta descriptions is crucial for SEO. Learn how to write compelling meta descriptions for better search engine visibility.,We invest in solutions for communities and ecosystems most vulnerable to climate change
P0,News,https://trafigurafoundation.org/news/7-reflections-from-new-york-climate-week/,New York Climate Week,7 Reflections from NYC Climate Week | Trafigura Foundation,"Executive Director Dario Soto Abril shares seven insights from New York Climate Week on resilience finance, funder collaboration and co-creation.",Update Yoast fields,"index, follow",para1 ED Dario Soto Abril seven insights,,58,145,7 Reflections from New York Climate Week | Trafigura Foundation,"Seven reflections from New York Climate Week on climate adaptation, partnerships and resilience finance.",7 Reflections from New York Climate Week
P0,News,https://trafigurafoundation.org/news/bridging-market-forces-and-ecosystem-protection-for-coastal-communities-in-tanzania/,coastal communities Tanzania,Coastal Communities in Tanzania | Trafigura Foundation,"Dario Soto-Abril reflects on Pemba Island, where Blue Alliance strengthens marine protected areas, sustainable tourism and aquaculture for climate resilience.",Update Yoast fields,"index, follow",para1+para3 Pemba Blue Alliance MPAs,,54,158,Bridging Market Forces and Ecosystem Protection for Coastal Communities in Tanzania — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Bridging Market Forces and Ecosystem Protection for Coastal Communities in Tanzania
P0,News,https://trafigurafoundation.org/news/colombia-how-the-dream-of-acai-lifts-community-resilience/,açaí community resilience,Açaí and Community Resilience | Trafigura Foundation,Anne de Puybusque visits Colombia to see how Beneficial Returns backs Indigenous-led enterprises that create jobs while protecting the environment.,Update Yoast fields,"index, follow",para1–3 Beneficial Returns Colombia açaí,,52,147,Colombia: How “the Dream of Açaí” Lifts Community Resilience — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Colombia: How “the Dream of Açaí” Lifts Community Resilience
